City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,Bahawalnagar,30.5508,73.3908,43.81,71,0,6.91,PK,2023-01-25 23:56:46
211,Kondinskoye,59.6481,67.41,10.08,93,98,13.2,RU,2023-01-25 23:56:47
212,Sanghar,26.0466,68.9481,48.76,18,0,9.42,PK,2023-01-25 23:56:47
213,Cidreira,-30.1811,-50.2056,77.0,85,7,14.23,BR,2023-01-25 23:56:47
214,Dikson,73.5069,80.5464,0.84,94,100,21.88,RU,2023-01-25 23:56:48
215,Manaus,-3.1019,-60.025,75.69,94,75,1.14,BR,2023-01-25 23:55:11
216,Velsk,61.0701,42.0983,34.27,96,100,14.14,RU,2023-01-25 23:56:48
217,Krasnodon,48.2923,39.7373,24.75,58,0,6.6,UA,2023-01-25 23:56:48
218,Panlaitan,12.1191,119.8486,79.3,75,93,10.42,PH,2023-01-25 23:56:49
219,Tura,25.5198,90.2201,59.47,52,72,2.68,IN,2023-01-25 23:56:49
220,Geraldton,-28.7667,114.6,77.41,50,25,8.05,AU,2023-01-25 23:56:49
221,Banjar,-8.19,114.9675,79.74,84,100,5.08,ID,2023-01-25 23:56:50
222,Imbituba,-28.24,-48.6703,75.88,91,5,9.48,BR,2023-01-25 23:56:50
223,Dauphin,51.1494,-100.0502,19.54,86,100,12.66,CA,2023-01-25 23:56:50
224,Hvide Sande,56.0045,8.1294,42.1,92,92,14.09,DK,2023-01-25 23:56:50
225,Berlevag,70.8578,29.0864,35.55,69,100,26.46,NO,2023-01-25 23:56:51
226,San Patricio,28.017,-97.5169,61.84,45,0,5.39,US,2023-01-25 23:56:51
227,Sachin,21.0833,72.8833,60.15,38,5,9.53,IN,2023-01-25 23:56:51
228,Kiama,-34.6833,150.8667,87.26,67,1,3.0,AU,2023-01-25 23:56:52
229,Vilyuysk,63.7553,121.6247,-54.83,100,100,2.13,RU,2023-01-25 23:57:52
230,Gizo,-8.103,156.8419,81.12,78,100,12.59,SB,2023-01-25 23:57:52
231,New Iberia,30.0035,-91.8187,48.18,74,32,11.65,US,2023-01-25 23:57:53
232,Provideniya,64.3833,-173.3,-6.65,71,100,17.9,RU,2023-01-25 23:57:53
233,Alofi,-19.0595,-169.9187,80.49,89,75,4.61,NU,2023-01-25 23:57:53
234,Ken Caryl,39.5773,-105.1169,29.8,61,84,1.99,US,2023-01-25 23:57:54
